City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Norman Wells,CA,65.282,-126.8329,-4.63,91,96,6.91,overcast clouds
79,Chokurdakh,RU,70.6333,147.9167,-30.78,100,100,2.19,overcast clouds
80,Sao Filipe,CV,14.8961,-24.4956,73.9,67,0,8.37,clear sky
81,Hobyo,SO,5.3505,48.5268,75.78,71,3,11.14,clear sky
82,Ancud,CL,-41.8697,-73.8203,71.22,61,15,5.84,few clouds
83,Punta Arenas,CL,-53.15,-70.9167,59.11,77,75,18.41,broken clouds
84,Coihaique,CL,-45.5752,-72.0662,68.61,49,75,9.22,broken clouds
85,Lompoc,US,34.6391,-120.4579,75.02,24,0,0.0,clear sky
86,Constitucion,CL,-35.3333,-72.4167,69.33,57,2,17.52,clear sky
87,Albany,US,42.6001,-73.9662,19.89,55,4,3.0,clear sky
88,Logrono,ES,42.4667,-2.45,38.43,64,0,8.05,clear sky
89,Tabou,CI,4.423,-7.3528,80.1,83,10,9.1,clear sky
90,Balabac,PH,7.9868,117.0645,80.15,83,47,22.28,scattered clouds
91,Qaanaaq,GL,77.484,-69.3632,1.35,96,100,2.53,light snow
92,Atuona,PF,-9.8,-139.0333,79.03,77,5,22.82,clear sky
93,Lebu,CL,-37.6167,-73.65,63.34,73,0,19.98,clear sky
94,Saldanha,ZA,-33.0117,17.9442,78.85,74,20,4.85,few clouds
95,Mandera,KE,3.9366,41.867,82.89,20,100,4.76,overcast clouds
96,Nome,US,64.5011,-165.4064,-12.33,91,1,6.6,clear sky
97,Katsuura,JP,35.1333,140.3,33.91,59,10,11.95,clear sky
98,Lagoa,PT,39.05,-27.9833,58.96,74,22,18.05,few clouds
99,Narrabri,AU,-30.3167,149.7833,61.52,88,66,6.91,broken clouds
100,Bogorodskoye,RU,56.55,37.8833,6.26,99,86,6.64,overcast clouds
101,Hermanus,ZA,-34.4187,19.2345,68.81,81,34,15.88,scattered clouds
102,Le Port,RE,-20.9373,55.2919,84.2,86,100,18.14,light rain
103,Salalah,OM,17.0151,54.0924,70.21,76,8,3.15,clear sky
104,Cherskiy,RU,68.75,161.3,-32.87,96,13,0.69,few clouds
105,Kandrian,PG,-6.2167,149.55,81.07,78,100,13.53,overcast clouds
106,Vaini,TO,-21.2,-175.2,77.16,94,75,10.36,light intensity shower rain
107,Tuktoyaktuk,CA,69.4541,-133.0374,-32.8,68,20,9.22,few clouds
108,Porto Novo,BJ,6.4965,2.6036,82.22,84,0,6.44,clear sky
109,Bulgan,MN,48.8125,103.5347,-3.23,86,52,4.5,broken clouds
110,Pevek,RU,69.7008,170.3133,-28.05,99,36,2.35,scattered clouds
111,Nalut,LY,30.3333,10.85,58.57,19,100,10.58,overcast clouds
112,Kieta,PG,-6.2167,155.6333,81.48,81,88,7.29,overcast clouds
113,Shimoda,JP,34.6667,138.95,33.1,60,7,25.52,clear sky
114,Flinders,AU,-34.5833,150.8552,69.8,79,90,5.99,overcast clouds
115,Ninotsminda,GE,41.2646,43.5916,1.85,92,82,5.28,broken clouds
116,Bathsheba,BB,13.2167,-59.5167,83.01,57,20,13.8,few clouds
117,Honiara,SB,-9.4333,159.95,82.4,80,78,2.39,broken clouds
118,Berlevag,NO,70.8578,29.0864,23.97,84,67,28.32,broken clouds
119,Jalu,LY,29.0331,21.5482,56.35,48,0,3.62,clear sky
120,Menongue,AO,-14.6585,17.691,59.88,97,100,3.42,overcast clouds
121,Thompson,CA,55.7435,-97.8558,-9.24,59,75,4.61,broken clouds
122,Bystrice Pod Hostynem,CZ,49.3992,17.674,36.23,77,92,5.68,overcast clouds
123,Tyukhtet,RU,56.5389,89.3011,16.14,84,100,7.56,overcast clouds
124,Kavaratti,IN,10.5669,72.642,78.26,62,17,9.17,few clouds
125,Bredasdorp,ZA,-34.5322,20.0403,69.12,73,93,20.71,overcast clouds
126,Ambon,ID,-3.6954,128.1814,77.14,88,20,3.44,few clouds
127,Fortuna,US,40.5982,-124.1573,57.92,71,0,5.99,clear sky
128,Upernavik,GL,72.7868,-56.1549,-3.42,99,100,3.29,overcast clouds
129,Ribeira Grande,PT,38.5167,-28.7,59.4,82,40,14.97,scattered clouds
130,Cururupu,BR,-1.8283,-44.8683,76.98,90,82,4.85,broken clouds
131,De Bilt,NL,52.11,5.1806,47.05,91,100,1.99,overcast clouds
